REFCODE,SCP,LCD,PLD,Va,Density,ASA,VF,KH311,300,305,310,315,320,325,330,335,340,345,350,353,adsH,dW
GIQXUA_clean.cif,23.51850544,4.61099,3.48799,0.188067,1.79298,533.035,0.483831,9.591064607,-9.11407366,-8.899629455,-8.730487056,-7.716698771,-8.76700389,-8.22184875,-8.906578315,-8.739928612,-8.714442691,-9.022733788,-9.181114585,-9.472370099,61.06870199,0.016179964
ABUWOJ_clean.cif,41.26553432,4.67382,3.90881,0.236548,1.15833,938.32,0.54365,4.80156834,-8.246416941,-8.617982957,-8.270025714,-8.779891912,-6.853871964,-7.060980224,-8.4867824,-7.779891912,-8.573488739,-8.004803708,-7.515700161,-8,60.9128009,0.037572601
UMEXUF_clean.cif,13.1029542,5.8367,4.30293,0.235436,1.62337,820.703,0.534512,0.717811917,-8.214670165,-7.394694954,-7.954677021,-8.798602876,-8.815308569,-8.906578315,-7.454692884,-8.57024772,-8.299296283,-8.089909454,-10.50031292,-7.954677021,60.86685215,0.014630769
RUCGOM_clean.cif,4.098652908,4.30975,3.818,0.0583188,2.16054,204.146,0.310393,-0.709769444,-7.172630727,-8.823908741,-7.158015195,-8.408935393,-7.970616222,-7.617982957,-7.935542011,-7.920818754,-7.987162775,-8.793174124,-9.850780887,-8.37675071,60.73819144,0.009893896
FEYQIK_clean.cif,36.28267421,5.76521,4.17822,0.271139,1.30044,875.458,0.492417,2.086342031,-9.131943638,-8.287350298,-9.023191663,-8.074687909,-8.991399828,-8.522878745,-7.623423043,-8.050122296,-8.578396073,-8.591760035,-7.730487056,-8.681936665,60.63143565,0.035733272
HOWQAM_clean.cif,57.51760938,7.02197,5.16926,0.488679,1.01498,1996.57,0.70484,-1.508990087,-7.287350298,-7.610833916,-6.801342913,-7.869666232,-6.694648631,-7.065501549,-7.105683937,-7.262807357,-7.55129368,-7.251037139,-7.583359493,-6.866461092,60.53677216,0.086331981
UKUPUL_clean.cif,8.632167454,7.37009,4.76112,0.246898,1.43379,876.79,0.555313,3.312921707,-8.098541679,-8.432973634,-7.987162775,-8.63638802,-7.581698709,-8.70333481,-8.958607315,-8.26760624,-8.76700389,-8.480172006,-9.289036881,-8.928117993,60.52615885,0.022828462
LUFNAC01_clean.cif,47.96030171,7.72751,5.833,0.403161,1.02639,1329.04,0.588644,-0.804997525,-8.150580586,-8.308918508,-8.628932138,-8.040958608,-8.480172006,-8.640164518,-8.496209317,-8.490797478,-8.191789027,-7.585026652,-8.4225082,-8.35753548,60.42749529,0.047708388
VICYUD_clean.cif,25.11359114,5.833,3.85677,0.25175,1.15194,1020.11,0.496735,0.23942712,-9.044793462,-9.175223538,-8.173925197,-7.806875402,-7.838631998,-6.671620397,-7.290730039,-7.978810701,-8.785156152,-8.272458743,-9.055517328,-8.709965389,60.42335589,0.032721582
PACZUQ_clean.cif,17.78410062,6.94309,4.23947,0.109521,1.54491,412.651,0.280924,-0.914902167,-9.420216403,-8.847711656,-8.747146969,-8.111259039,-8.107348966,-8.318758763,-9.41453927,-9.211124884,-9.162411562,-8.55129368,-10.06148027,-8.705533774,60.34403547,0.016562377
